27. ID: 1703 | So nha: 1235 | Ma KN:  | SysID: SYS-20260527-359 | Title:  | ND: 1235 An Hạ 1,224.4 2 20 62 27 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ HĐ Lê Thanh Hậ
28. ID: 1735 | So nha: 107.32.1D | Ma KN:  | SysID: SYS-20260227-666 | Title:  | ND: 107.32.1D PHẠM VĂN HAI 42 3 4.2 10 7.7 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Lâm Ho
29. ID: 1999 | So nha: 1594 | Ma KN:  | SysID: SYS-20263627-679 | Title:  | ND: 1594 Trần Văn Giàu 1,455.3 1 25.8 66 80 tỷ Vĩnh Lộc Bình Chánh 50-100 tỷ HĐ Mai 
30. ID: 2115 | So nha: 107.68 | Ma KN:  | SysID: SYS-20261027-670 | Title:  | ND: 107.68 Phạm văn Hai 56 5 4.4 13 7.98 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Nguyễn T
31. ID: 2119 | So nha: 24 (SC: 46.28) | Ma KN:  | SysID: SYS-20260927-283 | Title:  | ND: 24 (SC: 46.28) Bành Văn Trân 95 3 6.6 15 13.5 tỷ Tân Hòa Tân Bình 10-15 tỷ HĐ Võ
32. ID: 2120 | So nha: 32.11A - 32.13 + 250.21.7 | Ma KN:  | SysID: SYS-20260927-257 | Title:  | ND: 32.11A - 32.13 + 250.21.7 phan sào nam 301 3 7.8 38 40.5 tỷ Phường 11 Tân Bình 2
33. ID: 2121 | So nha: 32.13 - 32.11A + 250.21.7 | Ma KN:  | SysID: SYS-20260927-274 | Title:  | ND: 32.13 - 32.11A + 250.21.7 phan sào nam 301 3 7.8 38 40.5 tỷ Phường 11 Tân Bình 2
34. ID: 2122 | So nha: 250.21.7 + 32.11 - 32.13 | Ma KN:  | SysID: SYS-20260927-195 | Title:  | ND: 250.21.7 + 32.11 - 32.13 bàu cát 301 3 7.8 38 40.5 tỷ Phường 11 Tân Bình 25-50 t
35. ID: 2128 | So nha: 56 | Ma KN:  | SysID: SYS-20260927-149 | Title:  | ND: 56 Ngô Thị Thu Minh 33.3 5 2.9 12 12.5 tỷ Tân Sơn Hòa Tân Bình 10-15 tỷ HĐ Bùi Q
36. ID: 2193 | So nha: 62.19 | Ma KN:  | SysID: SYS-20260227-615 | Title:  | ND: 62.19 Bùi Thị Xuân 93.3 4 4.6 22 11.2 tỷ Tân Sơn Nhất Tân Bình 10-15 tỷ HĐ Vương
37. ID: 2215 | So nha: 1014.62.12 | Ma KN:  | SysID: SYS-20260027-548 | Title:  | ND: 1014.62.12 Cách Mạng Tháng 8 36/40 2 4.5 10 5.5 tỷ Tân Sơn Nhất Tân Bình 5-10 tỷ
38. ID: 2263 | So nha: 35 | Ma KN:  | SysID: SYS-20265527-344 | Title:  | ND: 35 Phạm Văn Hai 60/66 4 3 22 15.5 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Trần Văn K
39. ID: 2275 | So nha: 5B35.5 | Ma KN:  | SysID: SYS-20265427-767 | Title:  | ND: 5B35.5 Trần Văn Giầu 418 3 8.3 58 37.2 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ HĐ Vă
40. ID: 2292 | So nha: 36 | Ma KN:  | SysID: SYS-20265227-875 | Title:  | ND: 36 tân sơn hòa 58 3 3.8 15 22.2 tỷ Phường 2 Tân Bình 15-25 tỷ HĐ Lê Thị Kim Uyên
41. ID: 2336 | So nha: 1025.44G | Ma KN:  | SysID: SYS-20264827-896 | Title:  | ND: 1025.44G Cám Mạng Tháng Tám 49.5 4 3.4 14 11.5 tỷ Phường 7 Tân Bình 10-15 tỷ HĐ 
42. ID: 2342 | So nha: 10 | Ma KN:  | SysID: SYS-20264727-483 | Title:  | ND: 10 Bùi Thị Xuân 86.2/103 3 5.5 21 11.4 tỷ Phường 2 Tân Bình 10-15 tỷ HĐ Nguyễn T
43. ID: 2637 | So nha: 71.15.20.8 | Ma KN:  | SysID: SYS-20261727-757 | Title:  | ND: 71.15.20.8 Nguyễn Bặc 93.2/94 4 4.7 18 12.3 tỷ Tân Sơn Hòa Tân Bình 10-15 tỷ HĐ 
44. ID: 2655 | So nha: Lô số 35, khu B | Ma KN:  | SysID: SYS-20261627-456 | Title:  | ND: Lô số 35, khu B KCN An Hạ 6,505 1 67 97 29 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ H
45. ID: 2858 | So nha: 1A.109 | Ma KN:  | SysID: SYS-20265127-435 | Title:  | ND: 1A.109 Vĩnh Lộc 476 2 15 36 29.5 tỷ Vĩnh Lộc Bình Chánh 25-50 tỷ HĐ Hà Chí Thiện
46. ID: 2871 | So nha: 107.2.15 | Ma KN:  | SysID: SYS-20264927-762 | Title:  | ND: 107.2.15 Phạm Văn Hai 56 2 5 11 6.7 tỷ Tân Bình 5-10 tỷ HĐ Phạm Thanh Hải Tâm Đứ
47. ID: 2917 | So nha: 6A82 | Ma KN:  | SysID: SYS-20264527-792 | Title:  | ND: 6A82 Phạm Văn Hai 295/1,264 1 20.5 62 26 tỷ Tân Vĩnh Lộc Bình Chánh 25-50 tỷ HĐ 
48. ID: 2918 | So nha: Thửa 321, tờ 64 | Ma KN:  | SysID: SYS-20264427-270 | Title:  | ND: Thửa 321, tờ 64 Phạm Văn Hai 1,592 1 26 66 31 tỷ Tân An Hội Bình Tân 25-50 tỷ HĐ
49. ID: 2923 | So nha: 154.30.50D | Ma KN:  | SysID: SYS-20264427-147 | Title:  | ND: 154.30.50D Phạm Văn Hai 21 2 4.5 5 2.7 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ HĐ Hoàng V
50. ID: 2943 | So nha: 71.162 | Ma KN:  | SysID: SYS-20264227-671 | Title:  | ND: 71.162 Nguyễn Bặc 63.9 5 6.5 10 11.3 tỷ Tân Sơn Hòa Tân Bình 10-15 tỷ HĐ Bùi Qua
51. ID: 2992 | So nha: 152 | Ma KN:  | SysID: SYS-20263727-811 | Title:  | ND: 152 Bùi Thị Xuân 93 3 5.6 16 20 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Trần Văn Kiề
52. ID: 3121 | So nha: 147.24.6 | Ma KN:  | SysID: SYS-20262427-104 | Title:  | ND: 147.24.6 Phạm Văn Hai 168.7 1 7.5 25 22 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Cao 
53. ID: 3219 | So nha: 71.7 | Ma KN:  | SysID: SYS-20261427-793 | Title:  | ND: 71.7 nguyễn bặc 11.4 2 3.6 4 3.5 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ HĐ Nguyễn Văn Sa
54. ID: 3262 | So nha: 71.15.26 | Ma KN:  | SysID: SYS-20260627-558 | Title:  | ND: 71.15.26 nguyễn bặc 12/16.5 2 3.1 5 3.5 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ HĐ Nguyễn
